	step	epoch	lr	loss_step	accuracy_step	params_norm_step	logits_norm_step	grads_norm_step	mu_norm_step	nu_norm_step	sharpness_step	n_iter	attempt	pre_sharpness_step	pre_n_iter	pre_attempt	num_params
0	1.0	1.0	0.001	0.050223651579004165	0.1087999939918518	90.532958984375	0.09900455921888351	0.02794380858540535	0.0	0.0	0.08609643723257707	6.0	0.0	98833.65606372274	7.0	0.0	2103818
1	2.0	1.0	0.001	0.043658976027776644	0.24819999933242798	90.54061889648438	0.2782333791255951	0.008566063828766346	0.0027943814639002085	1.7322127732199988e-08	0.10603462789872796	4.0	0.0	28339.134360123975	6.0	0.0	2103818
2	3.0	1.0	0.001	0.043364689838450474	0.29819998145103455	90.56493377685547	0.5142675042152405	0.02375299483537674	0.0031576775945723057	1.846479591449679e-08	0.19345997791002323	4.0	0.0	19257.614134190622	6.0	0.0	2103818
3	4.0	1.0	0.001	0.04180372398476799	0.3303999900817871	90.5780258178711	0.5033127069473267	0.018235348165035248	0.0019896021112799644	2.9136105084148767e-08	0.1706251736342828	5.0	0.0	14036.365351288103	5.0	0.0	2103818
4	5.0	1.0	0.001	0.04031459745487543	0.3522000014781952	90.5896224975586	0.433413565158844	0.008059106767177582	0.002555320505052805	3.6338775544209057e-08	0.1351059969764181	5.0	0.0	11150.390366185835	5.0	0.0	2103818
5	6.0	1.0	0.001	0.03959958297797449	0.3771999776363373	90.60614013671875	0.3855709731578827	0.005254670977592468	0.002758591901510954	3.763666356348949e-08	0.11803210039106661	4.0	0.0	9810.979140647189	5.0	0.0	2103818
6	7.0	1.0	0.001	0.039112785954697755	0.39100000262260437	90.62931060791016	0.3743237853050232	0.006506974343210459	0.0024782116524875164	3.7967495813973073e-08	0.11573344637238002	5.0	0.0	9541.990801546737	5.0	0.0	2103818
7	8.0	1.0	0.001	0.038552064727937554	0.40039998292922974	90.65839385986328	0.39249396324157715	0.007284040097147226	0.002088988898321986	3.86383334216589e-08	0.12467443367941344	5.0	0.0	10425.336102807292	9.0	0.0	2103818
8	9.0	1.0	0.001	0.03788848550864288	0.40459999442100525	90.69187927246094	0.42731502652168274	0.006888433825224638	0.0018582907505333424	3.957867988901853e-08	0.14144365044806922	5.0	0.0	10627.747327968184	5.0	0.0	2103818
9	10.0	1.0	0.001	0.03721484602409193	0.4189999997615814	90.7282485961914	0.46577292680740356	0.00538359209895134	0.0018524937331676483	4.040973422547722e-08	0.16513470781334044	6.0	0.0	13565.08243864598	8.0	0.0	2103818
10	11.0	1.0	0.001	0.036641636903237594	0.43619999289512634	90.76618194580078	0.49748581647872925	0.004894716665148735	0.0018977364525198936	4.0802643042070486e-08	0.18856751819483936	6.0	0.0	15192.208358296892	8.0	0.0	2103818
11	12.0	1.0	0.001	0.03617100218926657	0.45799997448921204	90.80445098876953	0.5157989859580994	0.007213294040411711	0.0018306165002286434	4.107361561977996e-08	0.20770368758149355	6.0	0.0	15884.53416333171	8.0	0.0	2103818
12	13.0	1.0	0.001	0.03562642103469317	0.47200000286102295	90.84248352050781	0.518506646156311	0.007774421013891697	0.0017828551353886724	4.198356862161745e-08	0.21852103202874068	6.0	0.0	16153.73606247442	7.0	0.0	2103818
13	14.0	1.0	0.001	0.03498719972197183	0.4851999878883362	90.88107299804688	0.5108413100242615	0.006079463288187981	0.0019301085267215967	4.317979929169269e-08	0.22215421078419592	6.0	0.0	16528.29616155111	5.0	0.0	2103818
14	15.0	1.0	0.001	0.03436382320993743	0.501800000667572	90.92164611816406	0.5008276104927063	0.004049454815685749	0.0020883996039628983	4.388842000935256e-08	0.22288922664318844	6.0	0.0	17291.7949667195	5.0	0.0	2103818
15	16.0	1.0	0.001	0.0338011895899201	0.5151999592781067	90.96532440185547	0.4955950975418091	0.0044283256866037846	0.002082887338474393	4.406789244626452e-08	0.2262059107032834	6.0	0.0	18197.70358950465	5.0	0.0	2103818
16	17.0	1.0	0.001	0.03325095787316375	0.5289999842643738	91.01258850097656	0.4991858899593353	0.0054160538129508495	0.001944144838489592	4.4274202082306147e-08	0.2355567985036322	6.0	0.0	19379.385575547727	5.0	0.0	2103818
17	18.0	1.0	0.001	0.03265255697173299	0.5455999970436096	91.06340026855469	0.5111199021339417	0.0048189302906394005	0.0018363394774496555	4.469928072126095e-08	0.2514824422060118	6.0	0.0	20852.957783978552	5.0	0.0	2103818
18	19.0	1.0	0.001	0.03202932760551155	0.5591999888420105	91.11750030517578	0.5283850431442261	0.004026176407933235	0.0018061217851936817	4.5002458648468746e-08	0.2723505020042569	6.0	0.0	22513.44164945692	5.0	0.0	2103818
19	20.0	1.0	0.001	0.03140754296039733	0.5735999941825867	91.17448425292969	0.5468840003013611	0.003902725875377655	0.0017966261366382241	4.512702034276117e-08	0.2954452498682267	6.0	0.0	24383.688518847044	5.0	0.0	2103818
20	21.0	1.0	0.001	0.03079205940619747	0.5907999873161316	91.23379516601562	0.5627618432044983	0.004855384584516287	0.0018111082026734948	4.523081287288733e-08	0.31762547858140944	6.0	0.0	26324.651956086513	5.0	0.0	2103818
21	22.0	1.0	0.001	0.030169545110195525	0.6141999959945679	91.29505157470703	0.571589469909668	0.005510788876563311	0.0018763106781989336	4.553557886310955e-08	0.3359655672837178	6.0	0.0	27980.801667330365	5.0	0.0	2103818
22	23.0	1.0	0.001	0.029490801167385974	0.6304000020027161	91.35823059082031	0.571195662021637	0.003955380991101265	0.002009388990700245	4.59307685218846e-08	0.34950228591473026	6.0	0.0	29575.737659946768	5.0	0.0	2103818
23	24.0	1.0	0.001	0.028808145369370052	0.6451999545097351	91.42412567138672	0.5689876079559326	0.0038378287572413683	0.0020817688200622797	4.604139647312877e-08	0.3621205500825237	6.0	0.0	31288.96176228245	5.0	0.0	2103818
24	25.0	1.0	0.001	0.028119830607557853	0.6638000011444092	91.49353790283203	0.5736662149429321	0.004106875509023666	0.0020532223861664534	4.612285309235631e-08	0.3776210565671127	6.0	0.0	33401.08404937397	5.0	0.0	2103818
25	26.0	1.0	0.001	0.02741278426576331	0.6787999868392944	91.5666732788086	0.5854465365409851	0.0045165615156292915	0.002011361764743924	4.624718030754593e-08	0.398633255455583	6.0	0.0	35729.02658786727	4.0	0.0	2103818
26	27.0	1.0	0.001	0.02668536348065055	0.6985999941825867	91.6432876586914	0.5971566438674927	0.003930859733372927	0.002015594393014908	4.6461991587420925e-08	0.4237927108916173	6.0	0.0	38778.0366219819	4.0	0.0	2103818
27	28.0	1.0	0.001	0.02596566770832884	0.7119999527931213	91.72315979003906	0.6083918809890747	0.0042715417221188545	0.002054839860647917	4.655900198713425e-08	0.45052334718307363	6.0	0.0	41852.61415989016	4.0	0.0	2103818
28	29.0	1.0	0.001	0.02523250550268389	0.7319999933242798	91.8061752319336	0.6212841272354126	0.005073782987892628	0.002084231935441494	4.667404951419485e-08	0.4779616551791214	6.0	0.0	45137.38505951094	4.0	0.0	2103818
29	30.0	1.0	0.001	0.024470536557482717	0.7569999694824219	91.891845703125	0.6305534243583679	0.0055658393539488316	0.0021658327896147966	4.6944709453100586e-08	0.5021109689823456	6.0	0.0	47637.1548505137	4.0	0.0	2103818
30	31.0	1.0	0.001	0.02377109727296738	0.767799973487854	91.97982025146484	0.6335960030555725	0.00967638660222292	0.0022616286296397448	4.72194621181643e-08	0.5227704764270713	6.0	0.0	47368.6120968402	4.0	0.0	2103818
31	32.0	1.0	0.001	0.02338872056995105	0.7797999978065491	92.0687255859375	0.6461064219474792	0.021341344341635704	0.0023467165883630514	4.833444222640537e-08	0.543589656543654	6.0	0.0	44766.3720295331	6.0	0.0	2103818
32	33.0	1.0	0.001	0.02316514693238723	0.7851999998092651	92.1533432006836	0.6538227200508118	0.03056650608778	0.0026744806673377752	5.509897249567075e-08	0.5591090479611641	6.0	0.0	39701.316065165025	6.0	0.0	2103818
33	34.0	1.0	0.001	0.021930032407304255	0.8091999888420105	92.23204040527344	0.6613075137138367	0.019119491800665855	0.0028236231300979853	6.928976858944225e-08	0.5676046369641453	6.0	0.0	38668.527028066805	6.0	0.0	2103818
34	35.0	1.0	0.001	0.021369429994101397	0.824999988079071	92.30988311767578	0.6672114133834839	0.02103881537914276	0.002386177657172084	7.416698366569108e-08	0.5710879108914756	6.0	0.0	36616.14140058758	6.0	0.0	2103818
35	36.0	1.0	0.001	0.020811858710949226	0.8361999988555908	92.38678741455078	0.6790191531181335	0.022947069257497787	0.0028261865954846144	8.16040923723449e-08	0.5799796158944494	6.0	0.0	35606.77417226897	6.0	0.0	2103818
36	37.0	1.0	0.001	0.019966092146560997	0.8507999777793884	92.46284484863281	0.682283341884613	0.01667943224310875	0.0025492669083178043	8.997592715331848e-08	0.5857868481293012	6.0	0.0	35212.77617158316	6.0	0.0	2103818
37	38.0	1.0	0.001	0.01956020153943342	0.8607999682426453	92.53897857666016	0.6917077302932739	0.02121834084391594	0.002791290869936347	9.299917280713998e-08	0.5925665097671339	6.0	0.0	35215.27245190116	6.0	0.0	2103818
38	39.0	1.0	0.001	0.018638011888345424	0.8817999958992004	92.61478424072266	0.6861205697059631	0.011873609386384487	0.0025906721130013466	1.0096941593928932e-07	0.597910661034401	6.0	0.0	36038.46311843121	5.0	0.0	2103818
39	40.0	1.0	0.001	0.01837999770497706	0.882599949836731	92.69221496582031	0.6968292593955994	0.021168755367398262	0.002736541209742427	1.0225228663784947e-07	0.6133404549631873	6.0	0.0	37279.36205632517	6.0	0.0	2103818
40	41.0	1.0	0.001	0.01736147722373293	0.9005999565124512	92.7694091796875	0.7083284258842468	0.006750843953341246	0.0027013050857931376	1.0946547490675584e-07	0.6295632377032132	6.0	0.0	39007.52340942726	6.0	0.0	2103818
41	42.0	1.0	0.001	0.017145385563648963	0.9023999571800232	92.84827423095703	0.7229929566383362	0.020515942946076393	0.0026501938700675964	1.0979125875110185e-07	0.6481903686745112	6.0	0.0	40389.816859171784	6.0	0.0	2103818
42	43.0	1.0	0.001	0.0162960224324404	0.9157999753952026	92.92667388916016	0.7276914715766907	0.012030212208628654	0.002850924851372838	1.1640852903838095e-07	0.6670110403478895	6.0	0.0	42819.07380020624	6.0	0.0	2103818
43	44.0	1.0	0.001	0.015888587270678968	0.9185999631881714	93.00572204589844	0.7391109466552734	0.01849129982292652	0.002601644955575466	1.1813508393743177e-07	0.6852420627408384	6.0	0.0	44662.05714743171	6.0	0.0	2103818
44	45.0	1.0	0.001	0.015417125715703507	0.9299999475479126	93.08450317382812	0.7470449209213257	0.02144276537001133	0.002935973461717367	1.2290773554468615e-07	0.6994326562499253	6.0	0.0	44939.56152238261	6.0	0.0	2103818
45	46.0	1.0	0.001	0.014914191604770723	0.9332000017166138	93.16167449951172	0.7453867793083191	0.022957753390073776	0.002769645070657134	1.2820225947507424e-07	0.7136734037545922	6.0	0.0	44876.24899054353	5.0	0.0	2103818
46	47.0	1.0	0.001	0.014765158152002097	0.936199963092804	93.23762512207031	0.7638397812843323	0.03118939697742462	0.003058261936530471	1.3271625221022987e-07	0.7382147929351514	7.0	0.0	44023.640011355325	5.0	0.0	2103818
47	48.0	1.0	0.001	0.013931051051615663	0.9461999535560608	93.31005859375	0.7628717422485352	0.023103345185518265	0.003026988822966814	1.430435929705709e-07	0.746514604905122	7.0	0.0	44504.45739015316	5.0	0.0	2103818
48	49.0	1.0	0.001	0.013312523441733557	0.9501999616622925	93.38172149658203	0.7695611119270325	0.017952360212802887	0.002832192461937666	1.4800201597608975e-07	0.7556673565775812	7.0	0.0	44788.501778600345	5.0	0.0	2103818
49	50.0	1.0	0.001	0.012847913188372133	0.9569999575614929	93.45314025878906	0.7750113010406494	0.017210286110639572	0.0027460588607937098	1.5222610727505526e-07	0.7711096572064503	7.0	0.0	45586.29122389891	5.0	0.0	2103818
50	51.0	1.0	0.001	0.012633251576995009	0.9611999988555908	93.52386474609375	0.7849876284599304	0.025799984112381935	0.002814815379679203	1.5507306727613468e-07	0.7907752349749515	7.0	0.0	45426.84927805987	5.0	0.0	2103818
