	step	epoch	lr	loss_step	accuracy_step	params_norm_step	logits_norm_step	grads_norm_step	mu_norm_step	nu_norm_step	sharpness_step	n_iter	attempt	pre_sharpness_step	pre_n_iter	pre_attempt	num_params
0	1.0	1.0	9.765625e-07	0.050223651579004165	0.1087999939918518	90.532958984375	0.09900455921888351	0.02794380858540535	0.0	1.7322354324278422e-05	0.08627985555752218	6.0	0.0	5546.9035442293125	7.0	3.0	2103818
1	2.0	1.0	1.9531249999999996e-06	0.05022335569311238	0.1087999939918518	90.532958984375	0.09900348633527756	0.02794242836534977	0.0027943814639002085	1.7322354324278422e-05	0.08627987856604527	6.0	0.0	3790.62597011918	9.0	0.0	2103818
2	3.0	1.0	2.9296875e-06	0.05022242625676784	0.1087999939918518	90.532958984375	0.09900122135877609	0.02794060856103897	0.005309186410158873	1.7322352505289018e-05	0.08586451541797695	6.0	0.0	2726.3541397121817	6.0	1.0	2103818
3	4.0	1.0	3.90625e-06	0.05022075438242475	0.1087999939918518	90.532958984375	0.09899629652500153	0.027936963364481926	0.0075723291374742985	1.732234886731021e-05	0.08586267875541863	6.0	0.0	2414.1352601553567	6.0	0.0	2103818
4	5.0	1.0	4.8828125e-06	0.05021806149724973	0.1087999939918518	90.532958984375	0.09898822754621506	0.027930913493037224	0.009608792141079903	1.7322341591352597e-05	0.08586166710501485	6.0	0.0	2201.200140621218	6.0	0.0	2103818
5	6.0	1.0	5.859375e-06	0.05021437799915863	0.1087999939918518	90.532958984375	0.09897496551275253	0.027922920882701874	0.011441003531217575	1.7322325220447965e-05	0.0858580040278806	6.0	0.0	2074.1499009323443	6.0	0.0	2103818
6	7.0	1.0	6.8359375e-06	0.050209591228852	0.1087999939918518	90.532958984375	0.09896253049373627	0.027913149446249008	0.0130891939625144	1.7322299754596315e-05	0.085853978169067	6.0	0.0	2001.110681106699	6.0	0.0	2103818
7	8.0	1.0	7.8125e-06	0.050203379840331304	0.1087999939918518	90.53295135498047	0.09894544631242752	0.027899442240595818	0.014571587555110455	1.7322259736829437e-05	0.08584917521109792	6.0	0.0	1914.5692049364236	6.0	0.0	2103818
8	9.0	1.0	8.789062500000001e-06	0.05019596203310705	0.1087999939918518	90.53294372558594	0.0989237055182457	0.027883237227797508	0.015904368832707405	1.7322201529168524e-05	0.08584246738896248	6.0	0.0	1836.7424421531553	6.0	0.0	2103818
9	10.0	1.0	9.765625e-06	0.050186972945793135	0.1087999939918518	90.53294372558594	0.098897784948349	0.02786390483379364	0.017102252691984177	1.732212331262417e-05	0.08583693113519208	6.0	0.0	1785.1490947205245	6.0	0.0	2103818
10	11.0	1.0	1.07421875e-05	0.050176769694552315	0.10899999737739563	90.53294372558594	0.09887338429689407	0.02784246951341629	0.018178410828113556	1.732201963022817e-05	0.08582940686757169	6.0	0.0	1745.6644684994428	6.0	0.0	2103818
11	12.0	1.0	1.1718750000000002e-05	0.05016480797911345	0.10899999737739563	90.5329360961914	0.09884141385555267	0.02781708538532257	0.019144807010889053	1.7321888662991114e-05	0.08581797968677611	6.0	0.0	1722.8813848579534	6.0	0.0	2103818
12	13.0	1.0	1.2695312500000001e-05	0.05015147865499505	0.1087999939918518	90.5329360961914	0.09880916774272919	0.027789240702986717	0.0200120247900486	1.732172313495539e-05	0.08580782725396276	6.0	0.0	1702.5940727773323	6.0	0.0	2103818
13	14.0	1.0	1.3671875e-05	0.050136399208049194	0.10899999737739563	90.53292846679688	0.09877597540616989	0.02775770239531994	0.020789729431271553	1.7321519408142194e-05	0.08579873029823534	6.0	0.0	1686.9851938961312	6.0	0.0	2103818
14	15.0	1.0	1.46484375e-05	0.050119864914773445	0.10920000076293945	90.53292846679688	0.09874379634857178	0.027723105624318123	0.02148650586605072	1.732127566356212e-05	0.08578921902038238	6.0	0.0	1674.9064780557821	7.0	0.0	2103818
15	16.0	1.0	1.5625e-05	0.050101212809005286	0.10979999601840973	90.53292846679688	0.09871293604373932	0.027683015912771225	0.022110138088464737	1.732098826323636e-05	0.08578066757690873	6.0	0.0	1667.2709113485819	7.0	0.0	2103818
16	17.0	1.0	1.66015625e-05	0.0500807318747273	0.10979999601840973	90.53291320800781	0.09867548942565918	0.027637869119644165	0.02266739122569561	1.7320648112217896e-05	0.0857703590879495	6.0	0.0	1661.235857559983	7.0	0.0	2103818
17	18.0	1.0	1.7578125000000002e-05	0.05005877174918163	0.10979999601840973	90.53290557861328	0.09864111989736557	0.027592049911618233	0.023164397105574608	1.7320251572527923e-05	0.08575622379379884	6.0	0.0	1656.8013341571486	7.0	0.0	2103818
18	19.0	1.0	1.85546875e-05	0.05003417976721471	0.10999999940395355	90.53290557861328	0.0986114889383316	0.02754061669111252	0.023607108741998672	1.7319796825177036e-05	0.08574870594321218	6.0	0.0	1648.7754409504507	6.0	0.0	2103818
