	step	epoch	lr	loss_step	accuracy_step	params_norm_step	logits_norm_step	grads_norm_step	mu_norm_step	nu_norm_step	sharpness_step	n_iter	attempt	pre_sharpness_step	pre_n_iter	pre_attempt	num_params
20	21.0	1.0	2.05078125e-05	0.4897092619333822	0.08020000159740448	55.53557586669922	3.006171703338623	4.983342170715332	4.655359268188477	0.7540426850318909	45.598299349075084	3.0	0.0	7907.21000626133	6.0	0.0	2103818
21	22.0	1.0	2.1484375e-05	0.48221313842821045	0.0803999975323677	55.53554153442383	2.9806933403015137	4.916914463043213	4.688106536865234	0.7539039850234985	45.50801939435025	3.0	0.0	7847.271947815373	6.0	0.0	2103818
22	23.0	1.0	2.24609375e-05	0.4743213531683548	0.08079999685287476	55.53550338745117	2.953646421432495	4.846225738525391	4.710926055908203	0.7537496089935303	45.415367761010266	3.0	0.0	7794.420306069534	6.0	0.0	2103818
23	24.0	1.0	2.34375e-05	0.46606166674531607	0.08079999685287476	55.53546142578125	2.924975872039795	4.771650791168213	4.724383354187012	0.7535788416862488	45.32000993400599	3.0	0.0	7748.923388851136	6.0	0.0	2103818
24	25.0	1.0	2.44140625e-05	0.4575228969884304	0.08079999685287476	55.53541564941406	2.89506196975708	4.693539142608643	4.729024410247803	0.7533911466598511	45.21864829579516	3.0	0.0	7708.864431639025	6.0	0.0	2103818
25	26.0	1.0	2.5390625000000002e-05	0.4486736115128453	0.0811999961733818	55.535369873046875	2.863754987716675	4.611419677734375	4.725377559661865	0.7531858086585999	45.11858899786837	3.0	0.0	7673.434534925665	6.0	0.0	2103818
26	27.0	1.0	2.63671875e-05	0.43954502764491105	0.08139999955892563	55.53532028198242	2.8310482501983643	4.525965213775635	4.713868618011475	0.7529624700546265	45.00452887298738	3.0	0.0	7646.231787514769	6.0	0.0	2103818
27	28.0	1.0	2.734375e-05	0.43015622882625093	0.0819999948143959	55.53527069091797	2.7970054149627686	4.4370436668396	4.694950580596924	0.7527204751968384	44.89729938887323	3.0	0.0	7623.92565276531	6.0	0.0	2103818
28	29.0	1.0	2.83203125e-05	0.4205335222892776	0.0819999948143959	55.535213470458984	2.761690855026245	4.344927787780762	4.669016361236572	0.7524595260620117	44.79147157851769	3.0	0.0	7605.579117823281	6.0	0.0	2103818
29	30.0	1.0	2.9296875e-05	0.4106746338134782	0.08219999819993973	55.53515625	2.724987506866455	4.249200820922852	4.636447429656982	0.7521792054176331	44.68312530392635	3.0	0.0	7594.581757364103	6.0	0.0	2103818
30	31.0	1.0	3.02734375e-05	0.4007278775344604	0.08320000022649765	55.535099029541016	2.687443256378174	4.150794982910156	4.597545623779297	0.7518790364265442	44.569410693209974	3.0	0.0	7586.97174460644	6.0	0.0	2103818
31	32.0	1.0	3.125e-05	0.39062921854607646	0.08320000022649765	55.535037994384766	2.648716449737549	4.049087047576904	4.552674770355225	0.7515590190887451	44.45757251819949	3.0	0.0	7586.632593914551	6.0	0.0	2103818
32	33.0	1.0	3.22265625e-05	0.38042831862642246	0.08419999480247498	55.534976959228516	2.6089959144592285	3.9448437690734863	4.502100944519043	0.7512190937995911	44.344360752523365	3.0	0.0	7599.291819276277	6.0	0.0	2103818
33	34.0	1.0	3.3203125e-05	0.37025559552177323	0.0851999968290329	55.534912109375	2.568751573562622	3.8390631675720215	4.446141719818115	0.7508590817451477	44.23661154137174	3.0	0.0	7616.332339769495	6.0	0.0	2103818
34	35.0	1.0	3.41796875e-05	0.3600743140142488	0.08579999953508377	55.53484344482422	2.527845621109009	3.730992555618286	4.385181903839111	0.7504791617393494	44.11890355115203	3.0	0.0	7620.125749577084	6.0	0.0	2103818
35	36.0	1.0	3.5156250000000004e-05	0.34986386350118936	0.08639999479055405	55.53477096557617	2.486184597015381	3.620485544204712	4.319491386413574	0.7500794529914856	44.009502564831195	3.0	0.0	7633.125260282238	6.0	0.0	2103818
36	37.0	1.0	3.61328125e-05	0.3398114156752061	0.085999995470047	55.534698486328125	2.4444334506988525	3.5091898441314697	4.249300003051758	0.7496601343154907	43.909088144314715	3.0	0.0	7651.339067501229	6.0	0.0	2103818
37	38.0	1.0	3.7109375e-05	0.32976323452318584	0.08699999749660492	55.53462600708008	2.4019923210144043	3.39509916305542	4.1749773025512695	0.7492216229438782	43.80794783470475	3.0	0.0	7669.372628844661	6.0	0.0	2103818
